,a
413,"N. Nsingi (22, OH Leuven, Belgian Pro League 22-23)"
414,"B. Guillaume (27, Guingamp, Ligue 2 22-23)"
415,"N. Sessa (27, Verl, 3. Liga 22-23)"
416,"Hugo Firmino (34, Ararat-Armenia, Armenian Premier League 22-23)"
417,"Juninho (26, Chaves, Primeira Liga 22-23)"
418,"Y. El-Arabi (36, Olympiacos Piraeus, Greek Super League 22-23)"
419,"M. Uzuni (27, Granada, La Liga 2 22-23)"
420,"Erik (28, Machida Zelvia, J2 2023)"
421,"S. Chader (23, Luzern, Swiss Super League 22-23)"
422,"Simy (30, Benevento, Serie B 22-23)"
423,"R. Ennin (24, Honvéd, NB I 22-23)"
424,"S. Mané (31, Bayern München, Bundesliga 22-23)"
425,"S. Guerra (33, FeralpiSalò, Serie C 22-23)"
426,"I. Zlatanović (25, Maccabi Netanya, Ligat Ha'al 22-23)"
427,"T. Çukur (20, Dender, Belgian First Division B 22-23)"
428,"V. Stepanovs (23, FK Auda, Virsliga 2023)"
429,"G. Laura (27, Samsunspor, Turkish 1. Lig 22-23)"
430,"L. Jephcott (23, Swindon Town, League Two 22-23)"
431,"A. Kolev (30, CSKA 1948 Sofia, Bulgarian First League 22-23)"
432,"Seok-Hwan Hong (20, Gangwon II, K4 League 2023)"
433,"G. Tutino (26, Palermo, Serie B 22-23)"
434,"M. Ramsland (30, Sandnes Ulf, OBOS Ligaen 2023)"
435,"S. Skrzypczak (33, Chojniczanka Chojnice, Polish I Liga 22-23)"
436,"D. Darboe (24, Al Nasr, UAE Pro League 22-23)"
437,"S. Okaka (33, İstanbul Başakşehir, Süper Lig 22-23)"
438,"J. Ménez (36, Reggina, Serie B 22-23)"
439,"D. Tadić (34, Ajax, Eredivisie 22-23)"
440,"N. Camacho (35, Guaraní, Paraguay Division Profesional 2023)"
441,"Diego Farias (33, Benevento, Serie B 22-23)"
442,"A. Sowe (28, Ankaragücü, Süper Lig 22-23)"
443,"Tana (32, Churchill Brothers, I-League 22-23)"
444,"L. Jović (25, Fiorentina, Serie A 22-23)"
445,"C. Lang (21, Sturm Graz II, Austrian 2. Liga 22-23)"
446,"F. Sears (33, Colchester United, League Two 22-23)"
447,"Vitinha (23, Sporting Braga, Primeira Liga 22-23)"
448,"B. Vukoja (25, Široki Brijeg, Bosnian Premier League 22-23)"
449,"Hyun-Jun Yang (21, Gangwon, K League 1 2023)"
450,"Yuri (40, Ponferradina, La Liga 2 22-23)"
451,"L. Palacios (27, Al Adalah, Saudi Professional League 22-23)"
452,"Víctor Casadesús (38, Atlètic Club d'Escaldes, Andorra Primera Divisió 22-23)"
453,"C. Olivares (24, Deportivo Municipal, Peruvian Liga 1 2023)"
454,"Z. Gruber (18, Puskás FC, NB I 22-23)"
455,"K. Laba (31, Al Ain, UAE Pro League 22-23)"
456,"M. Stroeykens (18, Anderlecht, Belgian Pro League 22-23)"
457,"A. Lookman (25, Atalanta, Serie A 22-23)"
458,"Y. Zaporozhets (28, Inhulets, Ukrainian Premier Liha 22-23)"
459,"E. Mero (24, Sport Boys, Peruvian Liga 1 2023)"
460,"N. Eichinger (21, Zwickau, 3. Liga 22-23)"
461,"J. Brown (28, Exeter City, League One 22-23)"
462,"J. Aitchison (23, Barnsley, League One 22-23)"
463,"L. Lucca (22, Ajax II, Eerste Divisie 22-23)"
464,"Ali Mabkhout (32, Al Jazira, UAE Pro League 22-23)"
465,"E. Stavas (21, Mjøndalen, OBOS Ligaen 2023)"
466,"P. lves (26, Farense, Portugal Segunda Liga 22-23)"
467,"V. Shkurtaj (31, Laçi, Albanian Premier League 22-23)"
468,"Xabi Auzmendi (26, Kauno Žalgiris, Lithuanian A Lyga 2023)"
469,"Silas (24, Stuttgart, Bundesliga 22-23)"
470,"Everton (29, PSM, BRI Liga 1 22-23)"
471,"D. Welbeck (32, Brighton, Premier League 22-23)"
472,"M. Nakajima (24, Vegalta Sendai, J2 2023)"
473,"H. Anier (32, Muang Thong United, Thai League 1 22-23)"
474,"R. de La Rosa (23, Pachuca, Liga MX 22-23)"
475,"Y. Diaby (22, Austria Lustenau, Austrian Bundesliga 22-23)"
476,"Janderson (34, Cobán Imperial, Guatemala Liga Nacional 22-23)"
477,"J. Morán (25, Malacateco, Guatemala Liga Nacional 22-23)"
478,"S. Guerrero (22, Torque, Uruguay Primera División 2023)"
479,"H. Ibusuki (32, Adelaide United, A-League Men 22-23)"
480,"Rubén Castro (41, Málaga, La Liga 2 22-23)"
481,"I. Ransom (19, Hapoel Ramat HaSharon, Liga Leumit 22-23)"
482,"N. Krstović (23, DAC, Slovak Super Liga 22-23)"
483,"M. Rennie (29, Clyde, Scottish League One 22-23)"
484,"L. Kappel (33, Pendikspor, Turkish 1. Lig 22-23)"
485,"Ismail Matar (40, Al Wahda, UAE Pro League 22-23)"
486,"M. Oyewusi (24, Žalgiris, Lithuanian A Lyga 2023)"
487,"Y. Otto (24, Verl, 3. Liga 22-23)"
488,"K. Gameiro (36, Strasbourg, Ligue 1 22-23)"
489,"D. Hilson (30, Arbroath, Scottish Championship 22-23)"
490,"S. Okitokandjo (28, Trofense, Portugal Segunda Liga 22-23)"
491,"K. Koné (33, Yverdon Sport, Swiss Challenge League 22-23)"
492,"A. Abubakar (26, Luzern, Swiss Super League 22-23)"
493,"Danilo Alves (32, Chonburi, Thai League 1 22-23)"
494,"L. Kehinde (29, Hapoel Nof HaGalil, Liga Leumit 22-23)"
495,"L. Tawamba (33, Al Taawon, Saudi Professional League 22-23)"
496,"M. Parrales (27, Guayaquil City, Ecuador Liga Pro 2023)"
497,"A. Sánchez (34, Olympique Marseille, Ligue 1 22-23)"
498,"S. Harrison (25, CSMS Iaşi, Romanian Liga II 22-23)"
499,"E. Tozlu (32, BB Erzurumspor, Turkish 1. Lig 22-23)"
500,"Miguel Puche (22, Real Zaragoza, La Liga 2 22-23)"
501,"Samuel Rosa (32, Prachuap, Thai League 1 22-23)"
502,"M. Cassierra (26, Zenit, Russian Premier League 22-23)"
503,"G. Sirino (32, Mamelodi Sundowns, South Africa PSL 22-23)"
504,"J. Dinenno (28, Pumas UNAM, Liga MX 22-23)"
505,"T. Sabitzer (22, WSG Swarovski Tirol, Austrian Bundesliga 22-23)"
506,"J. George (30, Bayreuth, 3. Liga 22-23)"
507,"B. Yılmaz (37, Fortuna Sittard, Eredivisie 22-23)"
508,"D. Skhirtladze (30, Dinamo Tbilisi, Erovnuli Liga 2023)"
509,"R. Benayad (26, ES Tunis, Tunisian Ligue 1 22-23)"
510,"M. Hakobyan (18, BKMA, Armenian Premier League 22-23)"
511,"Y. Ōsako (33, Vissel Kobe, J1 2023)"
512,"K. Kodro (29, Fehérvár, NB I 22-23)"
513,"M. Compagnon (21, Juventus Next Gen, Serie C 22-23)"
514,"A. Gignac (37, Tigres UANL, Liga MX 22-23)"
515,"Roberto Firmino (31, Liverpool, Premier League 22-23)"
516,"R. Margaret (22, TOP Oss, Eerste Divisie 22-23)"
517,"R. Rodelin (33, Servette, Swiss Super League 22-23)"
518,"R. Højlund (20, Atalanta, Serie A 22-23)"
519,"Beto Goncalves (42, Madura United, BRI Liga 1 22-23)"
520,"M. Lallemand (30, Dender, Belgian First Division B 22-23)"
521,"A. Soukouna (30, Maritzburg United, South Africa PSL 22-23)"
522,"N. Gioacchini (22, St. Louis City , MLS 2023)"
523,"A. Sadiku (32, Cartagena, La Liga 2 22-23)"
524,"A. Salama (22, Angers SCO, Ligue 1 22-23)"
525,"Pablo Durán (22, Celta de Vigo B, Primera División RFEF 22-23)"
526,"E. Salli (30, Olympiakos, Cyprus 1. Division 22-23)"
527,"Omar Marmoush (24, Wolfsburg, Bundesliga 22-23)"
528,"E. Valencia (33, Fenerbahçe, Süper Lig 22-23)"
529,"I. Lidberg (24, Go Ahead Eagles, Eredivisie 22-23)"
530,"Rafinha (34, Achuapa, Guatemala Liga Nacional 22-23)"
531,"M. Nwautobo (21, CSF Bălți, Moldovan Super Liga 22-23)"
532,"K. Quliyev (23, Shamakhi FK, Premyer Liqa 22-23)"
533,"M. Spina (23, Gubbio, Serie C 22-23)"
534,"E. Lutsenko (36, Arsenal Tula, Russian FNL 2 22-23)"
535,"L. Norris (29, Stevenage, League Two 22-23)"
536,"P. Bassene (22, Mouloudia Oujda, Botola Pro 22-23)"
537,"K. Viveros (23, Deportivo Cali, Colombian Primera Division 22-23)"
538,"K. Németh (34, MTK, NB II 22-23)"
539,"Thiago Santana (30, Shimizu S-Pulse, J2 2023)"
540,"M. Phaeton (23, Grenoble, Ligue 2 22-23)"
541,"P. Yeboah (20, Mantova, Serie C 22-23)"
542,"I. Kolev (27, Sirens, Malta Premier League 22-23)"
543,"F. Mercado (32, Malacateco, Guatemala Liga Nacional 22-23)"
544,"D. Gabay (36, Maccabi Kabilio Jaffa, Liga Leumit 22-23)"
545,"J. McDonald (35, San Carlos, Costa Rica Primera División 22-23)"
546,"F. Forte (30, Ascoli, Serie B 22-23)"
547,"J. López (31, Paris, Ligue 2 22-23)"
548,"J. Gómez (38, Virtus Verona, Serie C 22-23)"
549,"L. Traoré (22, Shakhtar Donetsk, Ukrainian Premier Liha 22-23)"
550,"S. Michez (21, Anderlecht II, Belgian First Division B 22-23)"
551,"A. Kokorin (32, Aris, Cyprus 1. Division 22-23)"
552,"J. Quiñones (26, Atlas, Liga MX 22-23)"
553,"M. Kukharevych (21, Hibernian, Scottish Premiership 22-23)"
554,"Ángel Rodado (26, Wisła Kraków, Polish I Liga 22-23)"
555,"A. Chukanov (27, Shinnik, Russian FNL 2 22-23)"
556,"C. Adams (26, Southampton, Premier League 22-23)"
557,"Léo Tilica (28, Asteras Tripolis, Greek Super League 22-23)"
558,"Ł. Grzeszczyk (35, Górnik Łęczna, Polish I Liga 22-23)"
559,"T. Cara (23, Partizani Tirana, Albanian Premier League 22-23)"
560,"M. George (29, Pau, Ligue 2 22-23)"
561,"A. Gray (31, Aris, Greek Super League 22-23)"
562,"M. de Jesús (31, Unión Comercio, Peruvian Liga 1 2023)"
563,"L. Muriel (32, Atalanta, Serie A 22-23)"
564,"André Luis (29, Moreirense, Portugal Segunda Liga 22-23)"
565,"J. Gómez (21, Zwickau, 3. Liga 22-23)"
566,"N. Pépé (27, Nice, Ligue 1 22-23)"
567,"W. Pluim (34, PSM, BRI Liga 1 22-23)"
568,"B. Vázquez (24, Cincinnati, MLS 2023)"
569,"D. Coelho (28, Curicó Unido, Chilean Primera División 2023)"
570,"G. Oristanio (20, Volendam, Eredivisie 22-23)"
571,"R. Ahmadzada (22, Zira, Premyer Liqa 22-23)"
572,"E. Cabrera (23, Birkirkara, Malta Premier League 22-23)"
573,"D. Okereke (25, Cremonese, Serie A 22-23)"
574,"R. Providence (21, Hartberg, Austrian Bundesliga 22-23)"
575,"J. Augustin (25, Basel, Swiss Super League 22-23)"
576,"I. Wadji (28, Saint-Étienne, Ligue 2 22-23)"
577,"E. Rastoder (21, Vaduz, Swiss Challenge League 22-23)"
578,"Evanilson (23, Porto, Primeira Liga 22-23)"
579,"F. Jozefzoon (32, RKC Waalwijk, Eredivisie 22-23)"
580,"Tomás Rodriguez (24, Sporting San Miguelito, Panama LPF 2023)"
581,"S. Conteh (26, Paderborn, 2. Bundesliga 22-23)"
582,"C. Rojas (24, San Francisco, Panama LPF 2023)"
583,"O. Afolayan (25, Bolton Wanderers, League One 22-23)"
584,"K. Rabihic (30, Saarbrücken, 3. Liga 22-23)"
585,"M. Tissera (26, Ludogorets, Bulgarian First League 22-23)"
586,"Hamilton (32, Port FC, Thai League 1 22-23)"
587,"C. Giousis (24, Telstar, Eerste Divisie 22-23)"
588,"M. Mrvaljević (22, Budućnost, Montenegro First League 22-23)"
589,"R. Lukaku (30, Internazionale, Serie A 22-23)"
590,"D. Chima (32, Jamshedpur, Indian Super League 22-23)"
591,"P. Cutrone (25, Como, Serie B 22-23)"
592,"J. Murray (27, Nakhon Ratchasima, Thai League 1 22-23)"
593,"O. Stijepović (23, Imolese, Serie C 22-23)"
594,"J. Montnor (20, St. Pölten, Austrian 2. Liga 22-23)"
595,"Carlos Martínez (36, FC Andorra, La Liga 2 22-23)"
596,"A. Marín (29, Malacateco, Guatemala Liga Nacional 22-23)"
597,"Iván Romero (22, Tenerife, La Liga 2 22-23)"
598,"S. Saporetti (25, Renate, Serie C 22-23)"
599,"D. David (27, Maccabi Haifa, Ligat Ha'al 22-23)"
600,"S. Williams (36, Guanacasteca, Costa Rica Primera División 22-23)"
601,"André Vidigal (24, Marítimo, Primeira Liga 22-23)"
602,"H. Mukhtar (28, Nashville SC, MLS 2023)"
603,"Roger Brugué (26, Levante, La Liga 2 22-23)"
604,"A. Carrasquilla (24, Houston Dynamo, MLS 2023)"
605,"Ivan Azón (20, Real Zaragoza, La Liga 2 22-23)"
606,"M. Khatib (27, Hapoel Umm al-Fahm, Liga Leumit 22-23)"
607,"S. Guirassy (27, Stuttgart, Bundesliga 22-23)"
608,"A. López (26, Municipal, Guatemala Liga Nacional 22-23)"
609,"J. Nouble (27, Livingston, Scottish Premiership 22-23)"
610,"M. Adamcsek (25, Nyíregyháza Spartacus, NB II 22-23)"
611,"C. Gakpo (24, Liverpool, Premier League 22-23)"
612,"M. Kwarteng (25, Magdeburg, 2. Bundesliga 22-23)"
613,"R. Nuzzolo (39, Neuchâtel Xamax, Swiss Challenge League 22-23)"
614,"Rafael Elias (24, Bani Yas, UAE Pro League 22-23)"
615,"P. Tuszyński (33, Chojniczanka Chojnice, Polish I Liga 22-23)"
616,"G. Berggren (22, Brage, Superettan 2023)"
617,"Y. Öztekin (36, Göztepe, Turkish 1. Lig 22-23)"
618,"C. Ofoedu (30, Agudat Sport Ashdod, Liga Leumit 22-23)"
619,"S. Cikalleshi (32, Al Khaleej, Saudi Professional League 22-23)"
620,"Abo Eisa (27, Bradford City, League Two 22-23)"
621,"A. Scheidler (25, Bari, Serie B 22-23)"
622,"L. Stassin (18, Anderlecht II, Belgian First Division B 22-23)"
623,"A. Ryan (28, Stirling Albion, Scottish League Two 22-23)"
624,"S. Haller (28, Borussia Dortmund, Bundesliga 22-23)"
625,"Diogo (26, Pumas UNAM, Liga MX 22-23)"
626,"M. Thiam (30, Kayserispor, Süper Lig 22-23)"
627,"M. Ninković (38, Western Sydney Wanderers, A-League Men 22-23)"
628,"J. Posito (33, ADT, Peruvian Liga 1 2023)"
629,"S. Arif Munip (38, Persis Solo, BRI Liga 1 22-23)"
630,"T. Conraad (26, Sutjeska, Montenegro First League 22-23)"
631,"Rafael Silva (32, Barito Putera, BRI Liga 1 22-23)"
632,"E. Aguirre (24, Santos Laguna, Liga MX 22-23)"
633,"S. Giménez (22, Feyenoord, Eredivisie 22-23)"
634,"F. Chalov (25, CSKA Moskva, Russian Premier League 22-23)"
635,"D. Ouattara (23, RSB Berkane, Botola Pro 22-23)"
636,"E. Ben Seghir (18, Monaco, Ligue 1 22-23)"
637,"M. Ristovski (25, Spartak Trnava, Slovak Super Liga 22-23)"
638,"T. Jambor (20, Žilina, Slovak Super Liga 22-23)"
639,"A. Onaiwu (27, Toulouse, Ligue 1 22-23)"
640,"A. Džafić (33, Sarajevo, Bosnian Premier League 22-23)"
641,"Ibson (33, Khon Kaen United, Thai League 1 22-23)"
642,"A. Tudorie (27, Sepsi, SuperLiga României 22-23)"
643,"A. Vilches (31, Ñublense, Chilean Primera División 2023)"
644,"S. Colyn (21, PSV II, Eerste Divisie 22-23)"
645,"Miguel De La Fuente (23, Deportivo Alavés, La Liga 2 22-23)"
646,"Gun-Kyu Cho (24, Mokpo City, K3 League 2023)"
647,"R. Matondo (22, Rangers, Scottish Premiership 22-23)"
648,"M. Ferreira (34, Iztapa, Guatemala Liga Nacional 22-23)"
649,"K. Mayo (24, Cape Town, South Africa PSL 22-23)"
650,"H. Čataković (26, Sarajevo, Bosnian Premier League 22-23)"
651,"A. Ramos (37, América de Cali, Colombian Primera Division 22-23)"
652,"João Pedro (30, Al Wahda, UAE Pro League 22-23)"
653,"D. Vente (24, Roda JC, Eerste Divisie 22-23)"
654,"N. Cudrig (20, Juventus Next Gen, Serie C 22-23)"
655,"B. Rollheiser (23, Estudiantes, Argentinian Primera División 2023)"
656,"Sandy (29, Hwaseong, K3 League 2023)"
657,"T. Baeten (20, Beerschot-Wilrijk, Belgian First Division B 22-23)"
658,"Raúl Hernández (28, UD Sanse, Primera División RFEF 22-23)"
659,"D. Peralta (26, Foggia, Serie C 22-23)"
660,"B. Bounedjah (31, Al Sadd, Qatari Stars League 22-23)"
661,"H. Kane (29, Tottenham Hotspur, Premier League 22-23)"
662,"L. Gamba (35, Central Córdoba SdE, Argentinian Primera División 2023)"
663,"E. Višņakovs (33, SK Super Nova Salaspils, Virsliga 2023)"
664,"R. Monreal (22, Necaxa, Liga MX 22-23)"
665,"M. Ivanovski (33, Petrolul 52, SuperLiga României 22-23)"
666,"M. Taremi (30, Porto, Primeira Liga 22-23)"
667,"Fábio Abreu (30, Khorfakkan, UAE Pro League 22-23)"
668,"R. Piscopo (25, Newcastle Jets, A-League Men 22-23)"
669,"R. Costantino (32, Monterosi, Serie C 22-23)"
670,"S. Elisor (23, Laval, Ligue 2 22-23)"
671,"C. Keșerü (36, UTA Arad, SuperLiga României 22-23)"
672,"L. Akins (34, Mansfield Town, League Two 22-23)"
673,"G. Pușcaș (27, Genoa, Serie B 22-23)"
674,"M. Deletić (29, Volos NFC, Greek Super League 22-23)"
675,"I. Akinade (29, Kelantan, Malaysian Super League 2023)"
676,"J. Godínez (26, Herediano, Costa Rica Primera División 22-23)"
677,"S. Berahino (29, AEL, Cyprus 1. Division 22-23)"
678,"I. Sergeev (28, Zenit, Russian Premier League 22-23)"
679,"Uilliam (28, Al Kholood, Saudi First Division 22-23)"
680,"I. Mbenza (27, Charleroi, Belgian Pro League 22-23)"
681,"M. Bilate (31, ADO Den Haag, Eerste Divisie 22-23)"
682,"K. Wriedt (28, Holstein Kiel, 2. Bundesliga 22-23)"
683,"F. Mazurek (29, Sabail, Premyer Liqa 22-23)"
684,"M. Krmenčík (30, Persija, BRI Liga 1 22-23)"
685,"M. de Leeuw (36, Willem II, Eerste Divisie 22-23)"
686,"M. Stankovski (23, Rabotnički, North Macedonia First League 22-23)"
687,"P. Kunić (29, Radnik Surdulica, Serbian SuperLiga 22-23)"
688,"E. Gyasi (29, Spezia, Serie A 22-23)"
689,"Silvio (28, Persikabo 1973, BRI Liga 1 22-23)"
690,"H. Khabba (26, Raja Casablanca, Botola Pro 22-23)"
691,"C. Itten (26, Young Boys, Swiss Super League 22-23)"
692,"S. Shpendi (20, Cesena, Serie C 22-23)"
693,"Mabululu (31, Al Ittihad, Egyptian Premier League 22-23)"
694,"K. Reid (28, Floriana, Malta Premier League 22-23)"
695,"A. Sanabria (27, Torino, Serie A 22-23)"
696,"D. Szczepan (28, Ruch Chorzów, Polish I Liga 22-23)"
697,"A. Di Grazia (27, Potenza, Serie C 22-23)"
698,"M. Wintzheimer (24, Eintracht Braunschweig, 2. Bundesliga 22-23)"
699,"A. Diakité (29, Torres, Serie C 22-23)"
700,"D. Iacoponi (21, Foggia, Serie C 22-23)"
701,"B. Osuji (27, Koper, 1. SNL 22-23)"
702,"J. Piroe (23, Swansea City, Championship 22-23)"
703,"O. Sinclair (25, Deportivo Saprissa, Costa Rica Primera División 22-23)"
704,"M. Ben Larbi (26, Ajman, UAE Pro League 22-23)"
705,"D. Handling (29, Edinburgh City, Scottish League Two 22-23)"
706,"L. Andersen (28, AaB, Superliga 22-23)"
707,"T. Thomsen (30, Hvidovre, Danish 1. Division 22-23)"
708,"R. Fergonzi (33, Persita, BRI Liga 1 22-23)"
709,"A. Kalimuendo (21, Rennes, Ligue 1 22-23)"
710,"J. Venegas (34, Alajuelense, Costa Rica Primera División 22-23)"
711,"Róger Guedes (26, Corinthians, Brasileirão 2023)"
712,"João Pedro (31, Fenerbahçe, Süper Lig 22-23)"
713,"G. Massey (30, Port Vale, League One 22-23)"
714,"M. Gavranović (33, Kayserispor, Süper Lig 22-23)"
715,"F. Caicedo (34, Abha, Saudi Professional League 22-23)"
716,"T. Lake (22, TOP Oss, Eerste Divisie 22-23)"
717,"A. Lacazette (32, Olympique Lyonnais, Ligue 1 22-23)"
718,"C. Benteke (32, DC United, MLS 2023)"
719,"L. Martínez (25, Internazionale, Serie A 22-23)"
720,"H. Alaa Aldeen (23, Hapoel Umm al-Fahm, Liga Leumit 22-23)"
721,"J. Wind (24, Wolfsburg, Bundesliga 22-23)"
722,"A. Dovbyk (25, Dnipro-1, Ukrainian Premier Liha 22-23)"
723,"A. Avagimyan (26, Chornomorets, Ukrainian Premier Liha 22-23)"
724,"J. Pereyra (32, Mumbai City, Indian Super League 22-23)"
725,"P. Rubio (34, Ñublense, Chilean Primera División 2023)"
726,"Jeong Woo-Geun (32, Police Tero, Thai League 1 22-23)"
727,"E. Sidorenco (34, Zimbru, Moldovan Super Liga 22-23)"
728,"V. Babaev (26, KAMAZ, Russian FNL 2 22-23)"
729,"J. King (31, Fenerbahçe, Süper Lig 22-23)"
730,"A. Guðmundsson (25, Genoa, Serie B 22-23)"
731,"M. Braithwaite (31, Espanyol, La Liga 22-23)"
732,"D. Srbeny (29, Paderborn, 2. Bundesliga 22-23)"
733,"T. Biasci (28, Catanzaro, Serie C 22-23)"
734,"I. Cernigoi (28, Crotone, Serie C 22-23)"
735,"V. Osimhen (24, Napoli, Serie A 22-23)"
736,"Matheus Araújo (21, Dainava, Lithuanian A Lyga 2023)"
737,"A. Samatta (30, Genk, Belgian Pro League 22-23)"
738,"Chung-Geun Jeong (28, Yeoju Citizen, K4 League 2023)"
739,"R. Hepburn-Murphy (24, Swindon Town, League Two 22-23)"
740,"D. Gravenberch (28, De Graafschap, Eerste Divisie 22-23)"
741,"Jorge Pombo (29, Racing Santander, La Liga 2 22-23)"
742,"B. Olivera (29, Plaza Colonia, Uruguay Primera División 2023)"
743,"F. Salvemini (26, Giugliano, Serie C 22-23)"
744,"R. Stepanyuk (31, Vorskla, Ukrainian Premier Liha 22-23)"
745,"João Figueiredo (27, İstanbul Başakşehir, Süper Lig 22-23)"
746,"Bo-Sub Kim (25, Incheon United, K League 1 2023)"
747,"M. Kuzma (34, Podbrezová, Slovak Super Liga 22-23)"
748,"Thiago Bezerra (36, Al Orubah, Saudi First Division 22-23)"
749,"J. Konings (25, Den Bosch, Eerste Divisie 22-23)"
750,"S. Bagaskara (25, Rans Nusantara, BRI Liga 1 22-23)"
751,"K. Sherman (31, Sri Pahang, Malaysian Super League 2023)"
752,"H. Martín (30, América, Liga MX 22-23)"
753,"A. Chávez (32, Banfield, Argentinian Primera División 2023)"
754,"I. Anderson (30, Annan Athletic, Scottish League Two 22-23)"
755,"Dioni (33, Atlético Baleares, Primera División RFEF 22-23)"
756,"Eloy Gila (34, FC Santa Coloma, Andorra Primera Divisió 22-23)"
757,"N. Sekulov (21, Juventus Next Gen, Serie C 22-23)"
758,"Borja Valle (30, Cartagena, La Liga 2 22-23)"
759,"I. Temnikov (34, Ufa, Russian FNL 2 22-23)"
760,"T. Coyle (22, Lausanne Sport, Swiss Challenge League 22-23)"
761,"N. Diguiny (35, Apollon, Cyprus 1. Division 22-23)"
762,"O. Khalaila (25, Maccabi Bnei Raina, Ligat Ha'al 22-23)"
763,"Hicham Khaloua (28, UTS Rabat, Botola Pro 22-23)"
764,"Mika (30, KTP, Veikkausliiga 2023)"
765,"Gerson Rodrigues (27, Al Wahda, Saudi Professional League 22-23)"
766,"A. Cioffi (20, Pontedera, Serie C 22-23)"
767,"B. Sepúlveda (30, Barracas Central, Argentinian Primera División 2023)"
768,"F. Lesme (21, Municipal Grecia, Costa Rica Primera División 22-23)"
769,"D. Lukács (27, Diósgyőr, NB II 22-23)"
770,"B. Labeau (27, Lausanne Sport, Swiss Challenge League 22-23)"
771,"B. Makharoblidze (30, Dila, Erovnuli Liga 2023)"
772,"A. Turgeman (31, Hapoel Haifa, Ligat Ha'al 22-23)"
773,"Z. Marušić (29, Dinamo Tbilisi, Erovnuli Liga 2023)"
774,"Diego Oliveira (32, Tokyo, J1 2023)"
775,"M. Koubek (23, Hradec Králové, Czech Fortuna Liga 22-23)"
776,"S. Palombi (27, Pordenone, Serie C 22-23)"
777,"J. Pigott (29, Portsmouth, League One 22-23)"
778,"D. Sorgić (33, Luzern, Swiss Super League 22-23)"
779,"M. Cóccaro (25, Huracán, Argentinian Primera División 2023)"
780,"R. Effaghe (19, Dinamo-Auto, Moldovan Super Liga 22-23)"
781,"Y. Muritala (23, Hibernians, Malta Premier League 22-23)"
782,"N. Da Silva (26, Resistencia, Paraguay Division Profesional 2023)"
783,"D. Ankudinov (19, Van, Armenian Premier League 22-23)"
784,"P. Iemmello (31, Catanzaro, Serie C 22-23)"
785,"B. Girth (31, MSV Duisburg, 3. Liga 22-23)"
786,"F. Gytkjær (30, Lyngby, Superliga 22-23)"
787,"T. Zhamaletdinov (26, SKA-Khabarovsk, Russian FNL 2 22-23)"
788,"Zé Manuel (32, Nacional, Portugal Segunda Liga 22-23)"
